sweep,key,value,signals,trades,cagr,mdd,ratio,final,is_r,oos_r
HTF 사용,HTF_ENABLE,True,1112,549,0.3327105323239852,-0.3027471986084833,1.0989714648169242,2082393196.2512481,1.2018345958169565,1.2846365180894006
HTF 사용,HTF_ENABLE,False,1024,500,0.31639971918062826,-0.28056408093038254,1.127727106518449,1828223791.0266407,0.7827649935697438,1.7099209863298441
HTF 상승률,HTF_GAIN_PCT,0.6,1408,628,0.25795565271552534,-0.2763938268029005,0.9332902102024022,1131218387.5263197,0.41104443151271797,1.811172745342088
HTF 상승률,HTF_GAIN_PCT,0.8,1189,567,0.3104188517797202,-0.31551362375856695,0.983852450115608,1742304042.2995913,1.0246631958994359,1.3132272482434717
HTF 상승률,HTF_GAIN_PCT,1.0,1112,549,0.3327105323239852,-0.3027471986084833,1.0989714648169242,2082393196.2512481,1.2018345958169565,1.2846365180894006
HTF 상승률,HTF_GAIN_PCT,1.3,1056,511,0.3269791979913568,-0.2826262197093161,1.1569315767222805,1989652040.624657,0.9169704603175962,1.5737431107021747
HTF 상승률,HTF_GAIN_PCT,1.6,1040,513,0.32072652353815867,-0.2824709925244522,1.1354317152066327,1892753511.1891518,0.910303495912945,1.6580612286992351
HTF 기간,HTF_TREND_DAYS,20,1029,509,0.30364542744532663,-0.2806722154191722,1.0818506812006485,1649425541.006056,0.7349806136417022,1.6961965031338053
HTF 기간,HTF_TREND_DAYS,30,1057,518,0.2857100031894948,-0.3090049421369284,0.9246130538031622,1424733505.9204423,0.7403774069115481,1.4973993266566328
HTF 기간,HTF_TREND_DAYS,40,1112,549,0.3327105323239852,-0.3027471986084833,1.0989714648169242,2082393196.2512481,1.2018345958169565,1.2846365180894006
HTF 기간,HTF_TREND_DAYS,60,1238,585,0.3255656131347848,-0.2879606755128139,1.130590531345998,1967360932.79125,0.9521376463854644,1.8562940721823957
HTF 베이스 최대,HTF_BASE_MAX,10,1188,579,0.31715718223887146,-0.349047453899223,0.9086362862582035,1839374661.787353,1.2333658452719634,1.026778895994282
HTF 베이스 최대,HTF_BASE_MAX,15,1112,549,0.3327105323239852,-0.3027471986084833,1.0989714648169242,2082393196.2512481,1.2018345958169565,1.2846365180894006
HTF 베이스 최대,HTF_BASE_MAX,20,1054,518,0.34074455018811367,-0.30689417843183586,1.1102998171201748,2218987509.1966496,0.6978777864115815,1.7992773847647685
HTF 베이스 최대,HTF_BASE_MAX,25,1035,499,0.28904847774190423,-0.2950832933662736,0.9795487722956968,1464329496.3906934,0.7341371816262183,1.6955490245392102
HTF 조정 깊이,HTF_MAX_DEPTH,0.1,1027,504,0.30296781822039565,-0.29734109849661683,1.0189234510541194,1640385255.8987074,0.8185322090084349,1.7099209863298441
HTF 조정 깊이,HTF_MAX_DEPTH,0.15,1056,514,0.33120009865812117,-0.29517761402198717,1.1220366414149914,2057579929.1230905,1.2237477580409752,1.5736729742322229
HTF 조정 깊이,HTF_MAX_DEPTH,0.2,1112,549,0.3327105323239852,-0.3027471986084833,1.0989714648169242,2082393196.2512481,1.2018345958169565,1.2846365180894006
HTF 조정 깊이,HTF_MAX_DEPTH,0.3,1245,588,0.28778431920603587,-0.3309393727556129,0.8695983098346973,1449220227.3303418,0.7440600380888844,1.2457703607333
