code,name,entry_date,exit_date,entry_px,qty,cost,proceeds,pnl,ret,reason,partial_tp,hold_days,entry_r,regime_r,streak_r,capped,success
011170,롯데케미칼,2017-01-09,2017-02-01,363381.0,30,10913968.279714499,10755329.001403501,-158639.2783109974,-0.014535435163931711,MA20_EXIT,False,23,3.0,2.0,1,False,False
036570,NC,2017-01-19,2017-02-08,300000.0,37,11112766.665,11104167.56715,-8599.097849998623,-0.0007738035098929727,BEAR_EXIT,False,20,3.0,2.0,1,False,False
005930,삼성전자,2017-01-09,2017-02-13,37220.0,301,11216105.383483,11326250.918492999,110145.53500999883,0.00982030136523153,MA20_EXIT,False,35,3.0,2.0,1,False,False
000660,SK하이닉스,2017-01-03,2017-02-13,47250.0,236,11163825.322649999,11659326.09291,495500.7702600006,0.04438449688519327,MA20_EXIT,False,41,3.0,2.0,1,False,False
005940,NH투자증권,2017-01-17,2017-02-21,11350.0,917,10419920.7036925,10194407.515372502,-225513.18831999786,-0.02164250522943835,MA20_EXIT,False,35,3.0,2.0,1,True,False
105560,KB금융,2017-01-16,2017-02-23,45150.0,249,11255280.3888525,11606432.4869625,351152.0981099997,0.031198876081113817,MA20_EXIT,False,38,3.0,2.0,1,False,False
028670,팬오션,2017-02-21,2017-02-23,4900.0,2348,11518432.70578,11190352.737708,-328079.968071999,-0.028483039008194846,BEAR_EXIT,False,2,3.0,2.0,1,False,False
139130,iM금융지주,2017-02-01,2017-02-28,10350.0,1051,10890361.159177499,10898176.63428,7815.47510250099,0.000717650681025831,MA20_EXIT,False,27,3.0,2.0,1,True,False
139480,이마트,2017-01-26,2017-03-02,199500.0,55,10985120.020875,11570787.87975,585667.8588750008,0.05331465270857828,MA20_EXIT,False,35,3.0,2.0,1,True,False
105560,KB금융,2017-03-02,2017-03-06,48050.0,239,11497158.2650925,11295202.72077,-201955.5443225,-0.01756569229247495,MA20_EXIT,False,4,3.0,2.0,1,False,False
086790,하나금융지주,2017-03-02,2017-03-07,36700.0,313,11500311.888065001,11125554.331477499,-374757.55658750236,-0.032586729841338036,MA20_EXIT,False,5,3.0,2.0,1,False,False
006400,삼성SDI,2017-02-09,2017-03-08,123358.0,89,10991489.3381293,10903014.330341399,-88475.00778790191,-0.00804941032704126,MA20_EXIT,False,27,3.0,2.0,1,True,False
010140,삼성중공업,2017-03-06,2017-03-28,9788.0,1153,11298544.0914346,11297128.02808545,-1416.0633491501212,-0.00012533148852546724,MA20_EXIT,False,22,3.0,2.0,1,True,False
086790,하나금융지주,2017-03-08,2017-03-29,37200.0,280,10427979.9624,10608632.748,180652.78559999913,0.017323852390527788,MA20_EXIT,False,21,3.0,2.0,1,True,False
009540,HD한국조선해양,2017-02-28,2017-03-29,149434.0,76,11370046.235147601,11598797.063129399,228750.82798179798,0.020118724519753762,MA20_EXIT,False,29,3.0,2.0,1,False,False
032640,LG유플러스,2017-03-02,2017-04-03,13550.0,719,9753655.2788675,10323077.06952,569421.7906525005,0.058380348123049125,MA20_EXIT,False,32,3.0,2.0,1,True,False
000720,현대건설,2017-02-28,2017-04-04,46508.0,246,11454126.8293452,11287790.6365737,-166336.19277149998,-0.014521944382993089,MA20_EXIT,False,35,3.0,2.0,1,False,False
028670,팬오션,2017-02-28,2017-04-04,5170.0,2214,11459545.053957,11059439.816673,-400105.23728400096,-0.034914583031011685,MA20_EXIT,False,35,3.0,2.0,1,False,False
011070,LG이노텍,2017-01-25,2017-04-07,99100.0,113,11211179.724745,15041027.191725,3829847.466980001,0.34160967543200377,MA20_EXIT,True,72,3.0,2.0,1,False,True
006400,삼성SDI,2017-03-08,2017-04-12,127274.0,91,11595254.9613901,12080748.046512602,485493.0851225015,0.04186997929231372,MA20_EXIT,False,35,3.0,2.0,1,False,False
009150,삼성전기,2017-03-29,2017-04-17,69000.0,174,12019808.7009,11675677.744889999,-344130.9560100008,-0.028630318882215944,MA20_EXIT,False,19,3.0,2.0,1,False,False
005930,삼성전자,2017-04-25,2017-05-02,42700.0,366,15646174.774230001,16603906.12335,957731.3491199985,0.06121185292506306,BEAR_EXIT,False,7,4.0,3.0,1,False,False
139480,이마트,2017-04-07,2017-05-04,225500.0,68,15351636.4001,14983696.7046,-367939.69549999945,-0.02396745766448733,MA20_EXIT,False,27,4.0,2.0,2,False,False
001740,SK네트웍스,2017-04-05,2017-05-10,7900.0,1482,11721265.72617,11540298.031119,-180967.69505099952,-0.01543926221610641,BEAR_EXIT,False,35,3.0,2.0,1,False,False
036570,NC,2017-04-12,2017-05-15,337500.0,34,11488197.97125,11898817.9713,410620.00005000085,0.03574276845486172,MA20_EXIT,False,33,3.0,2.0,1,False,False
056190,SFA,2017-04-14,2017-05-17,39000.0,300,11713456.754999999,13534980.22125,1821523.4662500005,0.15550691007353284,BEAR_EXIT,False,33,3.0,2.0,1,False,False
009540,HD한국조선해양,2017-05-10,2017-05-18,172324.0,66,11386465.097607601,10432666.319674896,-953798.7779327054,-0.08376601252069943,STOP_INTRA,False,8,4.0,3.0,1,True,False
046890,서울반도체,2017-04-25,2017-05-29,18250.0,627,11455910.8789125,11596561.672657501,140650.79374500178,0.012277574016737956,BEAR_EXIT,False,34,4.0,3.0,1,True,False
027410,BGF,2017-05-10,2017-06-02,61820.0,2,123782.204546,134576.08989930002,10793.885353300022,0.08720062300464841,BEAR_EXIT,False,23,4.0,3.0,1,True,False
006400,삼성SDI,2017-05-29,2017-06-12,161540.0,71,11482531.461400999,10638424.660265999,-844106.8011349998,-0.07351225676781288,MA20_EXIT,False,14,4.0,3.0,1,True,False
034730,SK,2017-04-25,2017-06-16,247000.0,63,15578897.48415,16897039.39665,1318141.9125000015,0.0846107315258401,MA20_EXIT,False,52,4.0,3.0,1,False,False
086790,하나금융지주,2017-06-12,2017-06-19,43750.0,243,10643477.5321875,10224368.92647,-419108.6057174988,-0.03937703672977657,MA20_EXIT,False,7,4.0,3.0,1,True,False
004170,신세계,2017-05-17,2017-06-20,233500.0,58,13558576.481449999,13589818.0785,31241.597050001845,0.0023041944774028936,MA20_EXIT,False,34,4.0,3.0,1,True,False
006260,LS,2017-06-16,2017-06-21,75700.0,223,16900515.797165,15919729.075259998,-980786.7219050005,-0.0580329460754993,BEAR_EXIT,False,5,4.0,3.0,1,True,False
066570,LG전자,2017-06-02,2017-06-23,86600.0,3,260098.80897,246770.357625,-13328.451345000009,-0.05124379999193815,MA20_EXIT,False,21,4.0,3.0,1,True,False
006120,SK디스커버리,2017-06-19,2017-06-23,49097.0,208,10223921.5342264,9797782.2437664,-426139.2904600017,-0.04168061042266653,BEAR_EXIT,False,4,4.0,3.0,1,True,False
023530,롯데쇼핑,2017-05-15,2017-06-27,252130.0,47,11863739.4040165,12652964.137033202,789224.7330167014,0.06652411235107772,MA20_EXIT,False,43,4.0,3.0,1,True,False
180640,한진칼,2017-05-04,2017-07-04,21400.0,731,15661392.25651,18476220.127657503,2814827.871147502,0.1797303729480026,MA20_EXIT,True,61,4.0,3.0,1,True,True
020560,아시아나항공,2017-06-22,2017-07-04,29782.0,534,15921879.5117382,14588167.153204871,-1333712.3585333284,-0.08376601252069935,STOP_INTRA,False,12,4.0,3.0,1,True,False
002380,KCC,2017-06-23,2017-07-07,379272.0,26,9872413.7119608,9285770.1440907,-586643.5678700991,-0.05942250648991324,MA20_EXIT,False,14,4.0,3.0,1,True,False
181710,NHN,2017-06-23,2017-07-10,43818.0,3,131605.1918181,123107.00131845001,-8498.19049964998,-0.06457336813425929,MA20_EXIT,False,17,4.0,3.0,1,True,False
192080,더블유게임즈,2017-07-05,2017-07-11,56399.0,284,16035738.3159974,14770901.889223201,-1264836.4267741982,-0.0788760954967933,MA20_EXIT,False,6,4.0,3.0,1,True,False
009150,삼성전기,2017-05-19,2017-07-20,78600.0,133,10465823.43807,13592310.708375,3126487.2703050002,0.2987330417721585,MA20_EXIT,True,62,4.0,3.0,1,True,True
006400,삼성SDI,2017-07-05,2017-07-27,173288.0,98,17001756.104933597,16262447.736137398,-739308.3687961996,-0.043484235642085575,MA20_EXIT,False,22,4.0,3.0,1,False,False
000660,SK하이닉스,2017-05-02,2017-07-27,55400.0,287,15918087.15497,19115081.164619997,3196994.0096499976,0.20084033832242346,MA20_EXIT,True,86,4.0,3.0,1,False,True
005930,삼성전자,2017-06-20,2017-07-31,48140.0,282,13591093.838322,13333017.378258001,-258076.46006399952,-0.01898864529478243,BEAR_EXIT,False,41,4.0,3.0,1,True,False
035720,카카오,2017-07-31,2017-08-04,24086.0,714,17217183.5942106,15774968.777686778,-1442214.8165238202,-0.0837660125206991,STOP_INTRA,False,4,4.0,3.0,1,False,False
086790,하나금융지주,2017-06-28,2017-08-10,44450.0,285,12682820.387737501,13881206.5108875,1198386.1231499985,0.09448892963182455,MA20_EXIT,False,43,4.0,3.0,1,True,False
020150,롯데에너지머티리얼즈,2017-07-07,2017-08-10,33450.0,278,9309795.359865,9618161.34087,308365.98100499995,0.03312274535425143,MA20_EXIT,True,34,4.0,3.0,1,True,True
024110,기업은행,2017-07-10,2017-08-11,14750.0,9,132902.68241249997,134153.3398725,1250.6574600000167,0.009410325189060202,MA20_EXIT,False,32,4.0,3.0,1,True,False
005490,POSCO홀딩스,2017-07-11,2017-08-14,308000.0,47,14492649.5714,15019092.048825,526442.4774249997,0.03632479173883351,BEAR_EXIT,False,34,4.0,3.0,1,True,False
030000,제일기획,2017-07-31,2017-08-18,20350.0,485,9881101.692962501,9405440.3073375,-475661.38562500104,-0.04813849714387371,MA20_EXIT,False,18,4.0,3.0,1,True,False
009830,한화솔루션,2017-07-20,2017-09-05,38553.0,359,13856445.682129048,14330193.95975175,473748.2776227016,0.03418974017512332,MA20_EXIT,False,47,5.0,3.0,2,True,False
103140,풍산,2017-07-27,2017-09-12,49400.0,437,21612629.20817,23572003.086315002,1959373.8781450018,0.09065874675739682,MA20_EXIT,False,47,5.0,3.0,2,False,False
084990,헬릭스미스,2017-09-04,2017-09-12,70314.0,184,12952656.3830664,13766288.2972344,813631.9141679984,0.06281583407336402,BEAR_EXIT,False,8,3.0,2.0,1,False,False
011790,SKC,2017-09-18,2017-09-22,40793.0,434,17724524.441924304,16239811.705598628,-1484712.7363256756,-0.0837660125206995,STOP_INTRA,False,4,4.0,3.0,1,False,False
