date,equity
2016-08-19,100603219.89716186
2016-08-22,100271305.89716186
2016-08-23,99780220.89716186
2016-08-24,99778999.89716186
2016-08-25,99764039.10845855
2016-08-26,98344730.84343906
2016-08-29,97856298.81058316
2016-08-30,98231401.1209068
2016-08-31,99405252.5345018
2016-09-01,99315872.57555571
2016-09-02,98158156.8908357
2016-09-05,99288357.38613646
2016-09-06,98328878.38613646
2016-09-07,98539395.38613646
2016-09-08,98571369.68476146
2016-09-09,97688500.68476146
2016-09-12,96859084.68476146
2016-09-13,95184701.2760356
2016-09-19,94737852.7534531
2016-09-20,94132328.7534531
2016-09-21,93996348.7534531
2016-09-22,94476372.7534531
2016-09-23,94474804.2164731
2016-09-26,95026830.2164731
2016-09-27,98748366.4523323
2016-09-28,99022399.4523323
2016-09-29,99028809.4523323
2016-09-30,97857078.4523323
2016-10-04,95913910.06964731
2016-10-05,95175626.7052165
2016-10-06,95024481.4679957
2016-10-07,95402420.4679957
2016-10-10,95013884.4679957
2016-10-11,93972469.84916407
2016-10-12,93898224.84916407
2016-10-13,93615546.84916407
2016-10-14,93424300.84916407
2016-10-17,93887997.84916407
2016-10-18,94095163.10076407
2016-10-19,92981517.10076407
2016-10-20,93548596.68397906
2016-10-21,93611222.68397906
2016-10-24,94546432.44741157
2016-10-25,94851032.44741157
2016-10-26,92645516.44741157
2016-10-27,91626412.86158118
2016-10-28,90829997.86158118
2016-10-31,91041710.01472372
2016-11-01,91388910.01472372
2016-11-02,91327760.01472372
2016-11-03,91183179.39572373
2016-11-04,90988929.39572373
2016-11-07,90777729.39572373
2016-11-08,90777729.39572373
2016-11-09,90133279.39572373
2016-11-10,91269330.24367373
2016-11-11,91197630.24367373
2016-11-14,91054230.24367373
2016-11-15,91078130.24367373
2016-11-16,90791330.24367373
2016-11-17,90361130.24367373
2016-11-18,90410509.53655373
2016-11-21,90410509.53655373
2016-11-22,90410509.53655373
2016-11-23,90410509.53655373
2016-11-24,90410509.53655373
2016-11-25,90410509.53655373
2016-11-28,90410509.53655373
2016-11-29,90410509.53655373
2016-11-30,90410509.53655373
2016-12-01,90410509.53655373
2016-12-02,90410509.53655373
2016-12-05,90410509.53655373
2016-12-06,90410509.53655373
2016-12-07,90410509.53655373
2016-12-08,90324338.34329873
2016-12-09,89397038.34329873
2016-12-12,89756523.35566622
2016-12-13,87850043.35566622
2016-12-14,88368283.35566622
2016-12-15,87226162.36981623
2016-12-16,88262562.36981623
2016-12-19,87392762.36981623
2016-12-20,87579150.73411623
2016-12-21,87569450.73411623
2016-12-22,87257859.61041123
2016-12-23,87123359.61041123
2016-12-26,87499059.61041123
2016-12-27,87419159.61041123
2016-12-28,86865009.61041123
2016-12-29,86621123.12425622
2017-01-02,87108888.59146124
2017-01-03,86875659.14768624
2017-01-04,86011554.96626374
2017-01-05,86142454.96626374
2017-01-06,86409254.96626374
2017-01-09,87020902.6638479
2017-01-10,87101161.43449289
2017-01-11,89265320.92491859
2017-01-12,90439991.92491859
2017-01-13,89173980.92491859
2017-01-16,88002253.92491859
2017-01-17,88614726.92491859
2017-01-18,87197312.92491859
2017-01-19,87305449.92491859
2017-01-20,85396997.42220439
2017-01-23,86809732.00562438
2017-01-24,86706861.00562438
2017-01-25,87133011.69945201
2017-01-26,88105942.69945201
2017-01-31,87054122.69945201
2017-02-01,87445955.12229657
2017-02-02,87230765.12229657
2017-02-03,88270765.12229657
2017-02-06,88269715.12229657
2017-02-07,86970105.12229657
2017-02-08,87269348.98434156
2017-02-09,87145969.93252698
2017-02-10,86103084.76947147
2017-02-13,85467938.64163347
2017-02-14,85441155.64163347
2017-02-15,85383920.64163347
2017-02-16,84826971.64163347
2017-02-17,85337302.64163347
2017-02-20,85319404.64163347
2017-02-21,86281714.7718912
2017-02-22,85947240.7718912
2017-02-23,87306362.44900212
2017-02-24,86175905.44900212
2017-02-27,85715949.44900212
2017-02-28,86605049.67268552
2017-03-02,86944940.73369801
2017-03-03,87157964.73369801
2017-03-06,87504209.59090161
2017-03-07,88311456.46703161
2017-03-08,88002820.1838659
2017-03-09,86443542.1838659
2017-03-10,86739705.1838659
2017-03-13,87824277.1838659
2017-03-14,87209778.1838659
2017-03-15,87830588.1838659
2017-03-16,91143433.54260892
2017-03-17,91228632.54260892
2017-03-20,91335035.54260892
2017-03-21,91744707.54260892
2017-03-22,90069098.54260892
2017-03-23,92359161.54260892
2017-03-24,91899747.54260892
2017-03-27,90503559.54260892
2017-03-28,90684796.54937947
2017-03-29,91217551.78232187
2017-03-30,90664836.78232187
2017-03-31,90479656.78232187
2017-04-03,88390466.78232187
2017-04-04,87604588.31742087
2017-04-05,88025903.44424586
2017-04-06,87518568.44424586
2017-04-07,87610332.57672086
2017-04-10,87369532.57672086
2017-04-11,87110947.57672086
2017-04-12,88020365.42428488
2017-04-13,88917565.42428488
2017-04-14,88257932.52448487
2017-04-17,88596233.69618487
2017-04-18,88671583.69618487
2017-04-19,88752133.69618487
2017-04-20,89267083.69618487
2017-04-21,88424033.69618487
2017-04-24,88243833.69618487
2017-04-25,88499355.83394738
2017-04-26,89342355.83394738
2017-04-27,89374705.83394738
2017-04-28,89090305.83394738
2017-05-02,89521655.83394738
2017-05-04,90234955.83652738
2017-05-08,89656433.30537736
2017-05-10,88879524.61391747
2017-05-11,89491792.61391747
2017-05-12,88963138.61391747
2017-05-15,89256694.43073647
2017-05-16,89201380.43073647
2017-05-17,90362180.43073647
2017-05-18,89226683.38304996
2017-05-19,89121593.87337998
2017-05-22,89345293.87337998
2017-05-23,89779171.87337998
2017-05-24,90057441.87337998
2017-05-25,91710535.87337998
2017-05-26,91732679.87337998
2017-05-29,92374179.86144748
2017-05-30,91860815.86144748
2017-05-31,91847801.54372248
2017-06-01,92070741.54372248
2017-06-02,94627979.54372248
2017-06-05,94403729.54372248
2017-06-07,94495581.54372248
2017-06-08,96711039.54372248
2017-06-09,96226073.75263447
2017-06-12,94231954.97730447
2017-06-13,95640152.79179648
2017-06-14,95817124.79179648
2017-06-15,95104841.73031847
2017-06-16,95850057.42692848
2017-06-19,96566817.19082847
2017-06-20,95989221.19082847
2017-06-21,95543322.47178847
2017-06-22,96356878.17897588
2017-06-23,96104412.92601618
2017-06-26,96745402.92601618
2017-06-27,97447330.09512097
2017-06-28,95103671.51232848
2017-06-29,95804403.09473312
2017-06-30,95435514.09473312
2017-07-03,93941604.09473312
2017-07-04,92708129.23905164
2017-07-05,92928528.36571789
2017-07-06,92071488.36571789
2017-07-07,91506849.9106398
2017-07-10,91979265.13630524
2017-07-11,93280723.87490383
2017-07-12,92254839.87490383
2017-07-13,94442952.87490383
2017-07-14,95247704.87490383
2017-07-17,98652430.87490383
2017-07-18,97677342.45970523
2017-07-19,96069555.45970523
2017-07-20,96706793.11303693
2017-07-21,97264982.11303693
2017-07-24,98281467.11303693
2017-07-25,97387103.11303693
2017-07-26,96240423.11303693
2017-07-27,96278475.16325763
2017-07-28,94143108.16325763
2017-07-31,95476913.24889924
2017-08-01,95972517.24889924
2017-08-02,96232165.24889924
2017-08-03,95620961.24889924
2017-08-04,96009746.25329667
2017-08-07,95878058.25329667
2017-08-08,95495094.25329667
2017-08-09,93844040.25329667
2017-08-10,93454688.59298918
2017-08-11,92268281.91836669
2017-08-14,93524679.01751669
2017-08-16,93392061.01751669
2017-08-17,94255907.01751669
2017-08-18,94075764.79822168
2017-08-21,93789438.79822168
2017-08-22,95041800.79822168
2017-08-23,94773510.79822168
2017-08-24,95340528.79822168
2017-08-25,95434908.79822168
2017-08-28,95260182.79822168
2017-08-29,95623710.79822168
2017-08-30,96187182.79822168
2017-08-31,96626382.79822168
2017-09-01,96142200.79822168
2017-09-04,95594784.79822168
2017-09-05,95532474.86207218
2017-09-06,95557674.86207218
2017-09-07,95700474.86207218
2017-09-08,95513874.86207218
2017-09-11,95879274.86207218
2017-09-12,95905600.26245219
2017-09-13,96640600.26245219
2017-09-14,96619600.26245219
2017-09-15,96349227.32354444
2017-09-18,97398497.45830628
2017-09-19,97462522.53280628
2017-09-20,98013629.40925997
2017-09-21,98928807.40925997
2017-09-22,95853386.03857486
2017-09-25,96009492.61397485
2017-09-26,95603169.61397485
2017-09-27,96155287.61397485
2017-09-28,95048689.61397485
2017-09-29,95428586.61397485
2017-10-10,97099963.19537985
2017-10-11,97556302.11233486
2017-10-12,100186463.11233486
2017-10-13,102326938.37752436
2017-10-16,102098128.52392156
2017-10-17,103377594.52392156
2017-10-18,101804468.52392156
2017-10-19,99621275.79501157
2017-10-20,99775333.79501157
2017-10-23,99759003.91261137
2017-10-24,100600765.71349376
2017-10-25,99940397.71349376
2017-10-26,97408805.62570755
2017-10-27,97345560.02375755
2017-10-30,98702184.56698915
2017-10-31,98832615.56698915
2017-11-01,98079366.56698915
2017-11-02,98251289.55218916
2017-11-03,99603000.55218916
2017-11-06,100460727.59808916
2017-11-07,99450942.10650416
2017-11-08,100359326.6467883
2017-11-09,99634476.6467883
2017-11-10,100370542.6467883
2017-11-13,100521304.6467883
2017-11-14,100321991.5072614
2017-11-15,101446415.5072614
2017-11-16,101634795.5072614
2017-11-17,98964675.5072614
2017-11-20,102709193.17685941
2017-11-21,103914975.17685941
2017-11-22,103349820.01084101
2017-11-23,104062020.01084101
2017-11-24,103624820.01084101
2017-11-27,103838744.01084101
2017-11-28,103038871.256466
2017-11-29,103445273.180966
2017-11-30,100440633.180966
2017-12-01,101711417.112322
2017-12-04,101803729.57132201
2017-12-05,101365217.499077
2017-12-06,99025346.0467776
2017-12-07,98134411.61032261
2017-12-08,97063723.77339262
2017-12-11,97880223.77339262
2017-12-12,97127623.77339262
2017-12-13,97282200.61187261
2017-12-14,97439700.61187261
2017-12-15,97839900.61187261
2017-12-18,97624100.61187261
2017-12-19,96567503.24644862
2017-12-20,97121203.24644862
2017-12-21,96832103.24644862
2017-12-22,97549103.24644862
2017-12-26,97948103.24644862
2017-12-27,97288003.24644862
2017-12-28,96776703.24644862
2018-01-02,96641473.20955361
2018-01-03,96641473.20955361
2018-01-04,96614873.20955361
2018-01-05,96833406.29496166
2018-01-08,99557980.33565417
2018-01-09,97071583.33565417
2018-01-10,98062366.33565417
2018-01-11,98564072.33565417
2018-01-12,102057972.88090554
2018-01-15,101711883.31434393
2018-01-16,102494350.11660144
2018-01-17,100714234.03280547
2018-01-18,101484898.03280547
2018-01-19,99790498.00046924
2018-01-22,98976084.00046924
2018-01-23,102501336.00046924
2018-01-24,102351526.00046924
2018-01-25,101975984.62044173
2018-01-26,103900817.62044173
2018-01-29,104854104.62044173
2018-01-30,104225960.62044173
2018-01-31,104106943.62044173
2018-02-01,101315839.62044173
2018-02-02,100175874.49241373
2018-02-05,98897530.57822873
2018-02-06,98503667.73523173
2018-02-07,98153174.03456062
2018-02-08,97990074.03456062
2018-02-09,98083274.03456062
2018-02-12,98059974.03456062
2018-02-13,97500774.03456062
2018-02-14,97058308.57818562
2018-02-19,97058308.57818562
2018-02-20,97058308.57818562
2018-02-21,97058308.57818562
2018-02-22,97058308.57818562
2018-02-23,97058308.57818562
2018-02-26,97058308.57818562
2018-02-27,97058308.57818562
2018-02-28,97058308.57818562
2018-03-02,97058308.57818562
2018-03-05,97058308.57818562
2018-03-06,97058308.57818562
2018-03-07,97058308.57818562
2018-03-08,97058308.57818562
2018-03-09,97058308.57818562
2018-03-12,97002624.14644612
2018-03-13,96016567.35965613
2018-03-14,97690043.35965613
2018-03-15,96194029.08158013
2018-03-16,98352767.08158013
2018-03-19,91577769.15725002
2018-03-20,91852361.53243892
2018-03-21,92038486.53243892
2018-03-22,90739870.20949364
2018-03-23,87967061.20949364
2018-03-26,89481876.19714904
2018-03-27,90040759.19714904
2018-03-28,88541135.19714904
2018-03-29,90008052.19714904
2018-03-30,89874598.19714904
2018-04-02,89645428.19714904
2018-04-03,89141656.19714904
2018-04-04,90492075.24588904
2018-04-05,89904739.24588904
2018-04-06,90815200.24588904
2018-04-09,91937006.24588904
2018-04-10,93239587.8138233
2018-04-11,93798170.8138233
2018-04-12,93765607.8138233
2018-04-13,94157360.8138233
2018-04-16,94500038.8138233
2018-04-17,93846243.8138233
2018-04-18,93826728.30497704
2018-04-19,95066404.82375604
2018-04-20,95842154.92662579
2018-04-23,95852318.42404549
2018-04-24,94582480.42404549
2018-04-25,93564942.5502275
2018-04-26,94214226.5502275
2018-04-27,94422148.5502275
2018-04-30,98262754.00953989
2018-05-02,98448422.51464988
2018-05-03,95592338.64262739
2018-05-04,98788458.64262739
2018-05-08,97799410.45786908
2018-05-09,97514800.45786908
